PRMS_segid,time,area,pr,tmmx,tmmn,srad,vs,rmax,rmin,sph
10_1,1/1/80,5408909.747,1.53,51.53,39.83,41.9,8.2,76.6,59.6,0
10_1,1/2/80,5408909.747,1.73,50.27,26.51,27.6,4.2,83.5,55,0
10_1,1/3/80,5408909.747,0.09,28.13,5.09,74.8,8.6,86.8,36,0
10_1,1/4/80,5408909.747,0,16.25,5.63,68.2,7.9,59.3,38.7,0
10_1,1/5/80,5408909.747,0.08,16.97,7.97,91.8,5.4,59,39.2,0
